depth,op,launches_per_tok,us_per_launch,us_per_tok,pct
4096,MUL_MAT_VEC pq2_0 m=17408 k=5120,128.0,51.9,6644,21.4
4096,MUL_MAT_ADD MUL_MAT_VEC pq2_0 m=5120 k=17408,64.0,54.6,3496,11.3
4096,MUL_MAT_VEC f32 m=1024 n=5 k=1024 (FWHT),130.0,14.5,1887,6.1
4096,MUL_MAT_VEC pq2_0 m=10240 k=5120,48.0,35.8,1718,5.5
4096,RMS_NORM_MUL RMS_NORM(5120),129.0,12.3,1591,5.1
4096,MUL,322.0,4.5,1457,4.7
4096,FLASH_ATTN_EXT,16.0,81.9,1310,4.2
4096,MUL_MAT_VEC pq2_0 m=5120 k=6144,48.0,24.2,1163,3.7
4096,GET_ROWS,97.0,10.2,993,3.2
4096,MUL_MAT_VEC pq2_0 m=6144 k=5120,48.0,20.6,986,3.2
4096,MUL_MAT f32 m=1024 n=17 k=1024 (FWHT),64.0,14.5,929,3.0
4096,MUL_MAT_VEC f32 m=1024 n=6 k=1024 (FWHT),64.0,14.4,920,3.0
4096,MUL_MAT_VEC bf16 m=48 k=5120,96.0,9.2,883,2.8
4096,GATED_DELTA_NET,48.0,18.0,863,2.8
4096,CPY,96.0,7.6,727,2.3
4096,MUL_MAT_VEC pq2_0 m=12288 k=5120,16.0,40.6,649,2.1
4096,MUL_MAT_VEC pq2_0 m=248320 k=5120,1.0,630.3,630,2.0
4096,GLU,112.0,4.3,480,1.5
4096,ADD,96.0,4.6,441,1.4
4096,MUL_MAT_ADD MUL_MAT_VEC pq2_0 m=5120 k=6144,16.0,25.0,401,1.3
4096,other (19 ops incl. MUL_MAT_VEC pq2_0 m=1024 265us),,,2902,9.3
4096,TOTAL,2199,,31070,100
32768,FLASH_ATTN_EXT,16.0,401.3,6420,18.4
32768,MUL_MAT_VEC pq2_0 m=17408 k=5120,128.0,50.0,6399,18.3
32768,MUL_MAT_ADD MUL_MAT_VEC pq2_0 m=5120 k=17408,64.0,52.5,3362,9.6
32768,GATED_DELTA_NET,48.0,17.9,860,2.5
32768,TOTAL,2199,,34960,100
