op,server_launches_per_tok,server_us_per_tok,bench_launches_per_tok,bench_us_per_tok,note
TOTAL_GPU,2206,116220,2199,31070,server before HVV fix; bench = llama-bench tg @ d4096; same binary
GATED_DELTA_NET,48.0,27502,48.0,863,
CPY,96.0,25474,96.0,727,
GET_ROWS,97.0,23743,97.0,993,
GLU,112.0,1887,112.0,480,
MUL,322.0,2812,322.0,1457,
CONCAT,48.0,1505,48.0,254,
RMS_NORM_MUL RMS_NORM(5120),123.1,2447,129.0,1591,
MUL_MAT f32 m=1024 n=17 k=1024 (FWHT),61.1,1704,64.0,929,
SSM_CONV_SILU,48.0,987,48.0,282,
MUL_MAT_VEC bf16 m=48 n=1 k=5120,91.6,1477,96.0,883,
MUL_MAT_VEC f32 m=1024 n=5 k=1024 (FWHT),124.1,2237,130.0,1887,
