stage,clock,model,env,pp_ts,tg_ts,size_b,mclk,busy,wall_s,error
C,high,Qwen3-8B-IQ4_XS.gguf,default,377.610338,80.168783,4575330304,1000Mhz,90.9,35.5,
C,high,Qwen3-8B-IQ4_XS.gguf,graphics_queue,381.570262,81.469209,4575330304,1000Mhz,95.1,14.3,
C,high,Qwen3-8B-IQ4_XS.gguf,no_int_dot,385.869284,83.871279,4575330304,1000Mhz,94.1,11.8,
C,high,Qwen3-8B-IQ4_XS.gguf,user_original,385.361808,83.833013,4575330304,1000Mhz,93.1,11.8,
C,high,Qwen3-8B-Q4_K_M.gguf,default,816.206904,85.122351,5021827072,1000Mhz,91.5,27.9,
C,high,Qwen3-8B-Q4_K_M.gguf,graphics_queue,849.261361,89.933801,5021827072,1000Mhz,91.2,11.0,
C,high,Qwen3-8B-Q4_K_M.gguf,no_int_dot,376.314177,77.222299,5021827072,1000Mhz,93.5,12.5,
C,high,Qwen3-8B-Q4_K_M.gguf,user_original,376.378235,77.950444,5021827072,1000Mhz,93.1,12.3,
C,high,Qwen3-8B-Q8_0.gguf,default,832.821764,66.30086,8703561728,1000Mhz,85.0,41.9,
C,high,Qwen3-8B-Q8_0.gguf,graphics_queue,959.475502,67.387042,8703561728,1000Mhz,90.2,12.3,
C,high,Qwen3-8B-Q8_0.gguf,no_int_dot,390.562295,58.849951,8703561728,1000Mhz,95.1,14.6,
C,high,Qwen3-8B-Q8_0.gguf,user_original,390.635603,59.442583,8703561728,1000Mhz,94.7,14.3,
C,high,Qwen3-8B-UD-IQ3_XXS.gguf,default,394.075909,72.886426,3404308480,1000Mhz,95.0,23.6,
C,high,Qwen3-8B-UD-IQ3_XXS.gguf,graphics_queue,394.679158,74.298492,3404308480,1000Mhz,94.7,14.1,
C,high,Qwen3-8B-UD-IQ3_XXS.gguf,no_int_dot,378.019715,71.977311,3404308480,1000Mhz,95.5,12.3,
C,high,Qwen3-8B-UD-IQ3_XXS.gguf,user_original,378.102639,74.17789,3404308480,1000Mhz,94.1,12.0,
C,high,Qwen3-8B-UD-Q3_K_XL.gguf,default,744.235074,80.400318,4301094912,1000Mhz,93.0,21.1,
C,high,Qwen3-8B-UD-Q3_K_XL.gguf,graphics_queue,753.372335,81.449633,4301094912,1000Mhz,91.3,9.0,
C,high,Qwen3-8B-UD-Q3_K_XL.gguf,no_int_dot,363.243627,69.301084,4301094912,1000Mhz,92.6,12.8,
C,high,Qwen3-8B-UD-Q3_K_XL.gguf,user_original,363.150575,70.422986,4301094912,1000Mhz,92.4,12.8,
