stage,clock,model,env,pp_ts,tg_ts,size_b,mclk,busy,wall_s,error
C,high,Qwen3.8-27B-UD-IQ3_XXS.gguf,default,127.379601,8.639534,10923864064,1000Mhz,98.3,110.5,
C,high,Qwen3.8-27B-UD-IQ3_XXS.gguf,graphics_queue,128.048558,8.543751,10923864064,1000Mhz,97.3,69.3,
C,high,Qwen3.8-27B-UD-IQ3_XXS.gguf,user_original,108.169752,8.491475,10923864064,1000Mhz,97.7,71.3,
C,high,Qwen3.8-27B-UD-IQ4_XS.gguf,default,130.298133,8.75969,14241849344,1000Mhz,95.4,129.1,
C,high,Qwen3.8-27B-UD-IQ4_XS.gguf,graphics_queue,130.624169,8.643249,14241849344,1000Mhz,96.1,113.0,
C,high,Qwen3.8-27B-UD-IQ4_XS.gguf,user_original,107.370203,8.500557,14241849344,1000Mhz,96.5,123.0,
C,high,Qwen3.8-27B-UD-Q2_K_XL.gguf,default,119.088824,8.786485,9817985024,1000Mhz,98.0,101.2,
C,high,Qwen3.8-27B-UD-Q2_K_XL.gguf,graphics_queue,119.52939,8.66534,9817985024,1000Mhz,97.9,68.5,
C,high,Qwen3.8-27B-UD-Q2_K_XL.gguf,user_original,108.789332,8.597185,9817985024,1000Mhz,98.0,67.0,
C,high,Qwen3.8-27B-UD-Q3_K_XL.gguf,default,139.010219,8.588962,13135396864,1000Mhz,97.7,126.6,
C,high,Qwen3.8-27B-UD-Q3_K_XL.gguf,graphics_queue,139.16652,8.494797,13135396864,1000Mhz,96.7,101.5,
C,high,Qwen3.8-27B-UD-Q3_K_XL.gguf,user_original,107.354314,8.406424,13135396864,1000Mhz,96.0,113.3,
C,high,Qwen3.8-27B-UD-Q4_K_S.gguf,default,139.835179,8.852739,15347216384,1000Mhz,95.6,145.4,
C,high,Qwen3.8-27B-UD-Q4_K_S.gguf,graphics_queue,140.25274,8.751515,15347216384,1000Mhz,96.8,136.2,
C,high,Qwen3.8-27B-UD-Q4_K_S.gguf,user_original,106.966344,8.415678,15347216384,1000Mhz,97.3,138.3,
