t_sec,iter,decode_ts,prefill_ts,pred_n,sclk_mhz,mclk_mhz,edge_c,junction_c,mem_c,power_w,vram_mb,busy
0,1,0.00,0.00,0,1801,1000,62,65,61,28,99,0
0,2,0.00,0.00,0,1801,1000,62,65,62,28,99,0
0,3,0.00,0.00,0,1801,1000,62,65,61,27,99,0
0,4,0.00,0.00,0,1801,1000,62,65,62,27,99,0
0,5,0.00,0.00,0,1801,1000,62,65,61,27,99,0
0,6,0.00,0.00,0,1801,1000,62,65,61,27,99,0
0,7,0.00,0.00,0,1801,1000,61,65,61,27,99,0
0,8,0.00,0.00,0,1801,1000,61,65,61,27,99,0
0,9,0.00,0.00,0,1801,1000,62,65,61,27,99,0
0,10,0.00,0.00,0,1801,1000,62,65,61,27,99,0
1,11,0.00,0.00,0,1801,1000,62,65,61,27,99,0
1,12,0.00,0.00,0,1801,1000,62,65,61,27,99,0
1,13,0.00,0.00,0,1801,1000,62,65,61,27,99,0
1,14,0.00,0.00,0,1801,1000,61,65,61,27,99,0
1,15,0.00,0.00,0,1801,1000,62,65,61,27,99,0
1,16,0.00,0.00,0,1801,1000,62,64,61,27,99,0
1,17,0.00,0.00,0,1801,1000,61,64,61,27,99,0
1,18,0.00,0.00,0,1801,1000,62,64,61,27,99,0
1,19,0.00,0.00,0,1801,1000,61,64,61,27,99,0
1,20,0.00,0.00,0,1801,1000,62,64,61,27,99,0
1,21,0.00,0.00,0,1801,1000,62,64,61,27,99,0
1,22,0.00,0.00,0,1801,1000,62,64,61,27,99,0
1,23,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,24,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,25,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,26,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,27,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,28,0.00,0.00,0,1801,1000,62,64,61,27,99,0
2,29,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,30,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,31,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,32,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,33,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,34,0.00,0.00,0,1801,1000,61,64,61,27,99,0
2,35,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,36,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,37,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,38,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,39,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,40,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,41,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,42,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,43,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,44,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,45,0.00,0.00,0,1801,1000,61,64,60,27,99,0
3,46,0.00,0.00,0,1801,1000,61,64,61,27,99,0
3,47,0.00,0.00,0,1801,1000,61,64,60,27,99,0
4,48,0.00,0.00,0,1801,1000,61,64,60,27,99,0
4,49,0.00,0.00,0,1801,1000,61,64,60,27,99,0
4,50,0.00,0.00,0,1801,1000,61,64,60,27,99,0
4,51,0.00,0.00,0,1801,1000,60,64,60,27,99,0
4,52,0.00,0.00,0,1801,1000,61,64,61,27,99,0
4,53,0.00,0.00,0,1801,1000,61,64,60,27,99,0
4,54,0.00,0.00,0,1801,1000,61,64,60,28,99,0
4,55,0.00,0.00,0,1801,1000,61,64,60,28,99,0
4,56,0.00,0.00,0,1801,1000,61,64,60,28,99,0
4,57,0.00,0.00,0,1801,1000,61,64,60,28,99,0
4,58,0.00,0.00,0,1801,1000,61,63,60,28,99,0
4,59,0.00,0.00,0,1801,1000,61,63,60,28,99,0
4,60,0.00,0.00,0,1801,1000,60,64,60,28,99,0
5,61,0.00,0.00,0,1801,1000,61,64,60,28,99,0
5,62,0.00,0.00,0,1801,1000,61,64,60,27,99,0
5,63,0.00,0.00,0,1801,1000,60,64,60,27,99,0
5,64,0.00,0.00,0,1801,1000,61,63,60,27,99,0
5,65,0.00,0.00,0,1801,1000,60,63,60,27,99,0
5,66,0.00,0.00,0,1801,1000,61,63,60,27,99,0
5,67,0.00,0.00,0,1801,1000,60,63,60,27,99,0
5,68,0.00,0.00,0,1801,1000,61,63,60,27,99,0
5,69,0.00,0.00,0,1801,1000,61,63,60,27,99,0
5,70,0.00,0.00,0,1801,1000,61,63,60,27,99,0
5,71,0.00,0.00,0,1801,1000,60,63,60,27,99,0
5,72,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,73,0.00,0.00,0,1801,1000,61,63,60,27,99,0
6,74,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,75,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,76,0.00,0.00,0,1801,1000,61,63,60,27,99,0
6,77,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,78,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,79,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,80,0.00,0.00,0,1801,1000,61,63,60,27,99,0
6,81,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,82,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,83,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,84,0.00,0.00,0,1801,1000,60,63,60,27,99,0
6,85,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,86,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,87,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,88,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,89,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,90,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,91,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,92,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,93,0.00,0.00,0,1801,1000,60,63,60,27,99,0
7,94,0.00,0.00,0,1801,1000,60,63,60,27,99,0
