phase,fa,ub,ctk,ctv,n_prompt,n_gen,ts
2,0,128,f16,f16,512,0,72.205809
2,0,128,f16,f16,0,128,8.54556
2,1,128,f16,f16,512,0,74.468325
2,1,128,f16,f16,0,128,8.568261
2,0,128,q8_0,f16,512,0,62.007977
2,0,128,q8_0,f16,0,128,7.362418
2,1,128,q8_0,f16,512,0,74.139269
2,1,128,q8_0,f16,0,128,8.537184
2,0,256,f16,f16,512,0,77.576585
2,0,256,f16,f16,0,128,8.521575
2,1,256,f16,f16,512,0,79.953726
2,1,256,f16,f16,0,128,8.557242
2,0,256,q8_0,f16,512,0,70.801045
2,0,256,q8_0,f16,0,128,7.293453
2,1,256,q8_0,f16,512,0,79.481042
2,1,256,q8_0,f16,0,128,8.543695
2,0,512,f16,f16,512,0,140.051277
2,0,512,f16,f16,0,128,8.528107
2,1,512,f16,f16,512,0,140.219777
2,1,512,f16,f16,0,128,8.567267
2,0,512,q8_0,f16,512,0,124.841389
2,0,512,q8_0,f16,0,128,7.234251
2,1,512,q8_0,f16,512,0,139.963264
2,1,512,q8_0,f16,0,128,8.539439
