name,prefill_ts,decode_ts,pp_tokens,status
base(control-1),132.96,26.24,933,OK
FORCE_MMVQ,132.40,25.79,933,OK
DISABLE_MMVQ,132.67,23.27,933,OK
base(control-2),132.96,26.21,933,OK
DISABLE_INTEGER_DOT_PRODUCT,102.11,23.78,933,OK
DISABLE_DOT2,132.46,26.22,933,OK
base(control-3),132.83,26.45,933,OK
DISABLE_F16,149.79,25.87,933,OK
ALLOW_GRAPHICS_QUEUE,132.11,26.71,933,OK
base(control-4),133.14,26.08,933,OK
DISABLE_FUSION,131.78,25.19,933,OK
DISABLE_GRAPH_OPTIMIZE,132.17,25.82,933,OK
base(control-5),132.54,26.15,933,OK
DISABLE_MULTI_ADD,132.45,26.21,933,OK
MAX_NODES_PER_SUBMIT=2000,133.14,26.60,933,OK
DISABLE_ASYNC,132.61,26.00,933,OK
base(control-6),132.66,26.53,933,OK
