t_sec,iter,decode_ts,prefill_ts,sclk_mhz,mclk_mhz,edge_c,junction_c,mem_c,power_w,vram_mb,busy
1,1,0.00,0.00,8,2,47,50,47,0,99,0
1,2,0.00,0.00,8,2,47,50,47,0,99,0
1,3,0.00,0.00,8,2,47,50,47,0,99,0
1,4,0.00,0.00,8,2,47,50,47,0,99,0
1,5,0.00,0.00,8,2,47,50,47,0,99,0
1,6,0.00,0.00,8,2,47,50,47,0,99,0
1,7,0.00,0.00,8,2,47,50,47,0,99,0
1,8,0.00,0.00,8,2,47,50,47,0,99,0
1,9,0.00,0.00,8,2,47,50,47,0,99,0
1,10,0.00,0.00,8,2,47,50,47,0,99,0
2,11,0.00,0.00,8,2,47,50,47,0,99,0
2,12,0.00,0.00,8,2,47,50,47,0,99,0
2,13,0.00,0.00,8,2,47,50,47,0,99,0
2,14,0.00,0.00,8,2,47,50,47,0,99,0
2,15,0.00,0.00,8,2,47,50,47,0,99,0
2,16,0.00,0.00,8,2,47,50,47,0,99,0
2,17,0.00,0.00,8,2,47,50,47,0,99,0
2,18,0.00,0.00,8,2,47,50,47,0,99,0
2,19,0.00,0.00,8,2,47,50,47,0,99,0
2,20,0.00,0.00,8,2,47,50,47,0,99,0
2,21,0.00,0.00,8,2,47,50,47,0,99,0
2,22,0.00,0.00,8,2,47,50,47,0,99,0
3,23,0.00,0.00,8,2,47,50,47,0,99,0
3,24,0.00,0.00,8,2,47,50,47,0,99,0
3,25,0.00,0.00,8,2,47,50,47,0,99,0
3,26,0.00,0.00,8,2,47,50,47,0,99,0
3,27,0.00,0.00,8,2,47,50,47,0,99,0
3,28,0.00,0.00,8,2,47,50,47,0,99,0
3,29,0.00,0.00,8,2,47,50,47,0,99,0
3,30,0.00,0.00,8,2,47,50,47,0,99,0
3,31,0.00,0.00,8,2,47,50,47,0,99,0
3,32,0.00,0.00,8,2,47,50,47,0,99,0
3,33,0.00,0.00,8,2,47,50,47,0,99,0
3,34,0.00,0.00,8,2,47,50,47,0,99,0
4,35,0.00,0.00,8,2,47,50,47,0,99,0
4,36,0.00,0.00,8,2,47,50,47,0,99,0
4,37,0.00,0.00,8,2,47,50,47,0,99,0
4,38,0.00,0.00,8,2,47,50,47,0,99,0
4,39,0.00,0.00,8,2,47,50,47,0,99,0
4,40,0.00,0.00,8,2,47,50,47,0,99,0
4,41,0.00,0.00,8,2,47,50,47,0,99,0
4,42,0.00,0.00,8,2,47,50,47,0,99,0
4,43,0.00,0.00,8,2,47,50,47,0,99,0
4,44,0.00,0.00,8,2,47,50,47,0,99,0
4,45,0.00,0.00,8,2,47,50,47,0,99,0
4,46,0.00,0.00,8,2,47,50,47,0,99,0
5,47,0.00,0.00,8,2,47,50,47,0,99,0
5,48,0.00,0.00,8,2,47,50,47,0,99,0
5,49,0.00,0.00,8,2,47,50,47,0,99,0
5,50,0.00,0.00,8,2,47,50,47,0,99,0
5,51,0.00,0.00,8,2,47,50,47,0,99,0
5,52,0.00,0.00,8,2,47,50,47,0,99,0
5,53,0.00,0.00,8,2,47,50,47,0,99,0
5,54,0.00,0.00,8,2,47,50,47,0,99,0
5,55,0.00,0.00,8,2,47,49,47,0,99,0
5,56,0.00,0.00,8,2,47,49,47,0,99,0
5,57,0.00,0.00,8,2,47,49,47,0,99,0
5,58,0.00,0.00,8,2,47,50,47,0,99,0
6,59,0.00,0.00,8,2,47,50,47,0,99,0
6,60,0.00,0.00,8,2,47,50,47,0,99,0
6,61,0.00,0.00,8,2,47,50,47,0,99,0
6,62,0.00,0.00,8,2,47,50,47,0,99,0
6,63,0.00,0.00,8,2,47,50,47,0,99,0
6,64,0.00,0.00,8,2,47,50,47,0,99,0
6,65,0.00,0.00,8,2,47,50,47,0,99,0
6,66,0.00,0.00,8,2,47,50,47,0,99,0
6,67,0.00,0.00,8,2,47,50,47,0,99,0
6,68,0.00,0.00,8,2,47,50,47,0,99,0
6,69,0.00,0.00,8,2,47,50,47,0,99,0
6,70,0.00,0.00,8,2,47,50,47,0,99,0
7,71,0.00,0.00,8,2,47,50,47,0,99,0
7,72,0.00,0.00,8,2,47,50,47,0,99,0
7,73,0.00,0.00,8,2,47,50,47,0,99,0
7,74,0.00,0.00,8,2,47,50,47,0,99,0
7,75,0.00,0.00,8,2,47,50,47,0,99,0
7,76,0.00,0.00,8,2,47,50,47,0,99,0
7,77,0.00,0.00,8,2,47,49,47,0,99,0
7,78,0.00,0.00,8,2,47,50,47,0,99,0
7,79,0.00,0.00,8,2,47,50,47,0,99,0
7,80,0.00,0.00,8,2,47,50,47,0,99,0
7,81,0.00,0.00,8,2,47,50,47,0,99,0
7,82,0.00,0.00,8,2,47,50,47,0,99,0
8,83,0.00,0.00,8,2,47,50,47,0,99,0
8,84,0.00,0.00,8,2,47,50,47,0,99,0
8,85,0.00,0.00,8,2,47,50,47,0,99,0
8,86,0.00,0.00,8,2,47,50,47,0,99,0
8,87,0.00,0.00,8,2,47,50,47,0,99,0
8,88,0.00,0.00,8,2,47,50,47,0,99,0
8,89,0.00,0.00,8,2,47,50,47,0,99,0
8,90,0.00,0.00,8,2,47,50,47,0,99,0
8,91,0.00,0.00,8,2,47,50,47,0,99,0
8,92,0.00,0.00,8,2,47,50,47,0,99,0
8,93,0.00,0.00,8,2,47,50,47,0,99,0
8,94,0.00,0.00,8,2,47,50,47,0,99,0
9,95,0.00,0.00,8,2,47,50,47,0,99,0
9,96,0.00,0.00,8,2,47,50,47,0,99,0
9,97,0.00,0.00,8,2,47,50,47,0,99,0
9,98,0.00,0.00,8,2,47,50,47,0,99,0
9,99,0.00,0.00,8,2,47,50,47,0,99,0
9,100,0.00,0.00,8,2,47,50,47,0,99,0
9,101,0.00,0.00,8,2,47,50,47,0,99,0
9,102,0.00,0.00,8,2,47,50,47,0,99,0
9,103,0.00,0.00,8,2,47,50,47,0,99,0
9,104,0.00,0.00,8,2,47,50,47,0,99,0
9,105,0.00,0.00,8,2,47,50,47,0,99,0
9,106,0.00,0.00,8,2,47,50,47,0,99,0
10,107,0.00,0.00,8,2,47,50,47,0,99,0
10,108,0.00,0.00,8,2,47,50,47,0,99,0
10,109,0.00,0.00,8,2,47,50,47,0,99,0
10,110,0.00,0.00,8,2,47,50,47,0,99,0
10,111,0.00,0.00,8,2,47,50,47,0,99,0
10,112,0.00,0.00,8,2,47,50,47,0,99,0
10,113,0.00,0.00,8,2,47,50,47,0,99,0
10,114,0.00,0.00,8,2,47,50,47,0,99,0
10,115,0.00,0.00,8,2,47,50,47,0,99,0
10,116,0.00,0.00,8,2,47,50,47,0,99,0
10,117,0.00,0.00,8,2,47,50,47,0,99,0
10,118,0.00,0.00,8,2,47,50,47,0,99,0
10,119,0.00,0.00,8,2,47,50,47,0,99,0
11,120,0.00,0.00,8,2,47,50,47,0,99,0
11,121,0.00,0.00,8,2,47,49,47,0,99,0
11,122,0.00,0.00,8,2,47,50,47,0,99,0
11,123,0.00,0.00,8,2,47,50,47,0,99,0
11,124,0.00,0.00,8,2,47,50,47,0,99,0
11,125,0.00,0.00,8,2,47,50,47,0,99,0
11,126,0.00,0.00,8,2,47,50,47,0,99,0
11,127,0.00,0.00,8,2,47,49,47,0,99,0
11,128,0.00,0.00,8,2,47,50,47,0,99,0
11,129,0.00,0.00,8,2,47,50,47,0,99,0
11,130,0.00,0.00,8,2,47,50,47,0,99,0
11,131,0.00,0.00,8,2,47,50,47,0,99,0
12,132,0.00,0.00,8,2,47,50,47,0,99,0
12,133,0.00,0.00,8,2,47,50,47,0,99,0
12,134,0.00,0.00,8,2,47,50,47,0,99,0
12,135,0.00,0.00,8,2,47,50,47,0,99,0
12,136,0.00,0.00,8,2,47,50,47,0,99,0
12,137,0.00,0.00,8,2,47,50,47,0,99,0
12,138,0.00,0.00,8,2,47,50,47,0,99,0
12,139,0.00,0.00,8,2,47,50,47,0,99,0
12,140,0.00,0.00,8,2,47,50,47,0,99,0
12,141,0.00,0.00,8,2,47,50,47,0,99,0
12,142,0.00,0.00,8,2,46,50,47,0,99,0
12,143,0.00,0.00,8,2,47,50,47,0,99,0
13,144,0.00,0.00,8,2,47,50,47,0,99,0
13,145,0.00,0.00,8,2,47,50,47,0,99,0
13,146,0.00,0.00,8,2,47,50,47,0,99,0
13,147,0.00,0.00,8,2,47,50,47,0,99,0
13,148,0.00,0.00,8,2,47,50,47,0,99,0
13,149,0.00,0.00,8,2,47,49,47,0,99,0
13,150,0.00,0.00,8,2,47,49,47,0,99,0
13,151,0.00,0.00,8,2,47,49,47,0,99,0
13,152,0.00,0.00,8,2,47,50,47,0,99,0
13,153,0.00,0.00,8,2,47,50,47,0,99,0
13,154,0.00,0.00,8,2,47,50,47,0,99,0
13,155,0.00,0.00,8,2,47,49,47,0,99,0
14,156,0.00,0.00,8,2,47,50,47,0,99,0
